landmark_id,feature_name,category_id,latitude,longitude
1,Kings Domain,1,-37.8255239795833,144.974107925144
2,Federation Square,1,-37.8178516571684,144.968963600783
3,Flagstaff Gardens,1,-37.8111222889277,144.954696055235
4,Westgate Park,1,-37.8314918578874,144.908824792698
5,Newmarket Reserve,1,-37.7878473341234,144.922972125346
6,J.J Holland Park,1,-37.7982358832177,144.923837074813
7,Fitzroy Gardens,1,-37.8129616331579,144.980455714669
8,The Melbourne Athenaeum Library,2,-37.8148855756416,144.967291289941
9,Richmond Football Club,1,-37.8216740022008,144.988156318781
10,North Melbourne Recreation Reserve,1,-37.7988345257153,144.941452061463
11,Princes Park,1,-37.7870161727156,144.961115214367
12,Argyle Square,1,-37.8031480577285,144.965761295089
13,Royal Botanic Gardens,1,-37.8306631583233,144.980850432751
14,Darling Square,1,-37.81299206932,144.989062559512
15,Parliament Reserve,1,-37.809852620638,144.973462202839
16,Macarthur Square,1,-37.7983318676737,144.971514146104
17,Shrine of Rembrance Reserve,1,-37.8320733992876,144.973628364465
18,Treasury Gardens,1,-37.8143993575938,144.975952335785
19,Queen Victoria Gardens,1,-37.8216381244891,144.971049530478
20,New Quay,1,-37.8152178789077,144.941617889032
21,Sandridge Rail Bridge,1,-37.8201763042794,144.96298113724
22,Birrarung Marr,1,-37.81806108403,144.97314667014
23,University Square,1,-37.800410711209,144.960398319302
24,Docklands Park,1,-37.8209956785618,144.946781702342
25,Point Park,1,-37.8233522700646,144.942102276731
26,Alexandra Gardens,1,-37.8206051404251,144.971796067365
27,Piazza Italia,1,-37.8025164192523,144.965863092947
28,Murchinson Square,1,-37.8002735025371,144.973059252203
29,Powlett Reserve,1,-37.8116929882498,144.987275671763
30,Lincoln Square,1,-37.8027919689732,144.962760852233
31,Carlton Gardens North,1,-37.8017690847403,144.971997551189
32,Fawkner Park,1,-37.8413996708186,144.981625667877
33,Enterprize Park,1,-37.820210269629,144.959276859602
34,Carlton Gardens South,1,-37.8060684577258,144.971266479841
35,Batman Park,1,-37.8218460949601,144.956665812218
36,Riverslide Skate Park,1,-37.8207887122448,144.972951789291
37,Royal Park,1,-37.7906174256581,144.953834240647
38,Yarra Park,1,-37.820469374101,144.986671109615
